head_x, head_y, head_z, neck_x, neck_y, neck_z, torso_x, torso_y, torso_z, left_shoulder_x, left_shoulder_y, left_shoulder_z, right_shoulder_x,right_shoulder_y, right_shoulder_z,left_elbow_x, left_elbow_y, left_elbow_z, right_elbow_x, right_elbow_y, right_elbow_z, left_hand_x, left_hand_y, left_hand_z, right_hand_x, right_hand_y, right_hand_z, left_hip_x, left_hip_y, left_hip_z, right_hip_x, right_hip_y, right_hip_z,left_knee_x,left_knee_y,left_knee_z, right_knee_x, right_knee_y, right_knee_z, left_feet_x, left_feet_y, left_feet_z, right_feet_x, right_feet_y, right_feet_z
274.74673,92.66341,274.74673,268.40497,177.75632,268.40497,270.74295,241.83084,270.74295,216.74733,178.58513,216.74733,318.34406,176.95511,318.34406,156.77141,237.53143,156.77141,368.13412,215.89273,368.13412,197.70667,318.27826,197.70667,343.48358,286.27884,343.48358,236.30031,421.4084,236.30031,312.0827,403.1648,312.0827,240.74384,307.67313,240.74384,304.7256,303.91248,304.7256,261.36765,523.97186,261.36765,315.8051,517.3956,315.8051,
273.47217,92.56055,273.47217,267.0239,177.8488,267.0239,269.81342,241.97948,269.81342,215.84805,179.04564,215.84805,316.5846,176.68976,316.5846,157.82176,237.57587,157.82176,352.18927,220.35861,352.18927,196.49606,314.5443,196.49606,345.59772,285.31055,345.59772,232.69272,418.69678,232.69272,311.98035,404.9038,311.98035,240.95381,308.0729,240.95381,303.61954,304.0425,303.61954,260.5718,524.77515,260.5718,316.75076,513.5038,316.75076,
273.45898,92.62364,273.45898,266.78613,178.14186,266.78613,269.56287,241.75905,269.56287,215.52676,179.3606,215.52676,316.48752,176.96017,316.48752,162.34474,237.95296,162.34474,343.81302,220.42148,343.81302,192.70593,308.5355,192.70593,348.6153,280.9797,348.6153,234.11833,416.73083,234.11833,312.5818,405.37195,312.5818,240.45099,307.40747,240.45099,303.61963,303.44073,303.61963,260.175,524.4149,260.175,315.19287,514.6685,315.19287,
273.7543,92.65506,273.7543,265.47037,179.43536,265.47037,268.8321,243.34502,268.8321,214.48013,181.20488,214.48013,315.11792,177.71243,315.11792,162.20699,236.35393,162.20699,344.5066,217.38884,344.5066,191.33337,306.1301,191.33337,348.02618,281.14627,348.02618,234.3847,419.68054,234.3847,315.82828,421.16568,315.82828,240.54141,309.65915,240.54141,303.34622,305.3393,303.34622,258.47864,524.2715,258.47864,315.91852,513.91504,315.91852,
273.86453,92.77121,273.86453,266.1943,179.49902,266.1943,269.48206,243.54025,269.48206,215.22874,181.20284,215.22874,315.81107,177.84032,315.81107,163.56224,236.90182,163.56224,345.65573,215.9012,345.65573,191.96869,305.71024,191.96869,349.7209,282.3459,349.7209,237.54004,422.03204,237.54004,315.02222,427.7009,315.02222,241.0376,309.9444,241.0376,303.9944,305.67813,303.9944,258.61447,524.1744,258.61447,316.1396,516.28015,316.1396,
273.8455,93.012924,273.8455,266.335,179.6883,266.335,269.80588,243.678,269.80588,215.49936,181.49184,215.49936,315.78607,177.93385,315.78607,164.34288,238.07585,164.34288,346.66428,217.2419,346.66428,194.20619,309.52985,194.20619,349.1921,283.53622,349.1921,240.79813,422.6659,240.79813,315.5565,424.0639,315.5565,241.39575,310.1889,241.39575,304.63422,305.7035,304.63422,258.61502,524.4441,258.61502,315.40817,517.4134,315.40817,
273.85568,93.0753,273.85568,266.29938,180.37723,266.29938,269.8544,243.74953,269.8544,215.29913,182.33609,215.29913,316.00967,178.46791,316.00967,165.26279,238.19247,165.26279,347.55392,218.63571,347.55392,193.53961,308.40234,193.53961,350.9438,284.95343,350.9438,244.25066,414.96002,244.25066,315.09702,411.48126,315.09702,241.51439,309.78766,241.51439,304.83878,305.29895,304.83878,258.56165,524.41736,258.56165,313.39127,516.08264,313.39127,
273.81274,93.33406,273.81274,266.49112,180.6489,266.49112,269.93372,244.28664,269.93372,215.56018,182.51231,215.56018,316.1619,178.83159,316.1619,167.7591,239.79465,167.7591,351.96225,223.23688,351.96225,194.64783,309.5239,194.64783,351.83173,286.12646,351.83173,223.15695,412.47238,223.15695,314.00497,416.3495,314.00497,241.46307,310.60843,241.46307,304.84207,306.2652,304.84207,258.5305,524.9204,258.5305,312.29785,518.6572,312.29785,
273.46603,93.2265,273.46603,266.63513,180.64136,266.63513,269.9022,244.2709,269.9022,215.59119,182.42017,215.59119,316.46777,178.90475,316.46777,169.48108,239.74333,169.48108,355.82364,225.55383,355.82364,194.61076,308.49646,194.61076,350.99915,288.14084,350.99915,232.53769,416.02667,232.53769,312.71967,420.52216,312.71967,241.42413,310.45102,241.42413,304.48886,306.3288,304.48886,258.62726,524.9186,258.62726,312.015,521.09314,312.015,
273.6444,93.39929,273.6444,266.3973,181.66188,266.3973,269.73157,244.942,269.73157,215.57202,183.64772,215.57202,316.18845,179.71646,316.18845,169.45462,239.15562,169.45462,356.33008,225.25403,356.33008,193.57343,308.4187,193.57343,350.92758,291.91742,350.92758,237.48402,417.47772,237.48402,312.70267,419.9859,312.70267,241.69928,310.76718,241.69928,304.08694,306.70435,304.08694,256.64877,524.6365,256.64877,314.67297,520.84595,314.67297,
273.89594,93.73189,273.89594,266.99704,182.19771,266.99704,269.7735,245.87761,269.7735,216.15073,183.94104,216.15073,317.06107,180.4812,317.06107,170.51385,239.41321,170.51385,360.17548,226.7736,360.17548,196.52177,310.67334,196.52177,350.6007,294.23572,350.6007,240.85556,419.5531,240.85556,309.69394,407.57764,309.69394,241.48871,311.9024,241.48871,303.37485,308.56033,303.37485,256.56195,525.2486,256.56195,314.97977,517.0807,314.97977,
274.03,94.02095,274.03,267.5445,182.94464,267.5445,270.24606,246.28354,270.24606,216.62503,184.76965,216.62503,317.8213,181.14265,317.8213,171.33286,238.49947,171.33286,363.01636,227.86499,363.01636,197.4961,312.34906,197.4961,351.7609,293.6582,351.7609,240.54437,417.5775,240.54437,316.49066,401.1964,316.49066,241.89163,311.88702,241.89163,303.81845,308.6755,303.81845,255.41139,524.2844,255.41139,314.52618,516.84863,314.52618,
273.97983,94.292175,273.97983,270.52893,181.01099,270.52893,272.00134,244.69896,272.00134,222.61249,182.38931,222.61249,318.37994,179.63452,318.37994,172.52557,238.15137,172.52557,370.30222,228.81609,370.30222,198.49945,314.17313,198.49945,352.76846,293.24683,352.76846,248.67633,420.23572,248.67633,315.53607,403.9627,315.53607,242.51953,310.5827,242.51953,304.45825,308.68723,304.45825,255.86632,522.42676,255.86632,312.75467,516.2657,312.75467,
274.11646,94.532974,274.11646,270.42413,182.18314,270.42413,272.10147,245.26353,272.10147,221.39828,183.6313,221.39828,319.28976,180.73972,319.28976,173.94708,236.97932,173.94708,373.31,231.80942,373.31,197.55975,310.3333,197.55975,351.70898,296.42926,351.70898,246.63797,420.65656,246.63797,316.88998,408.2464,316.88998,242.77939,310.47922,242.77939,304.77176,308.3841,304.77176,256.01202,522.7564,256.01202,313.351,515.829,313.351,
275.7482,95.40181,275.7482,273.51715,182.41428,273.51715,275.06534,245.83278,275.06534,225.043,183.75607,225.043,321.92535,181.0743,321.92535,176.9057,238.10803,176.9057,376.05957,232.0233,376.05957,198.22482,312.0574,198.22482,353.91815,296.35208,353.91815,247.04443,421.18494,247.04443,317.05353,409.97086,317.05353,244.44275,311.0336,244.44275,308.79587,309.13672,308.79587,258.3688,519.8279,258.3688,312.52026,518.8852,312.52026,
276.87607,95.366684,276.87607,275.48456,183.038,275.48456,276.0147,246.00737,276.0147,226.89299,183.97931,226.89299,324.31848,182.09201,324.31848,178.88722,238.15338,178.88722,378.21906,232.29007,378.21906,199.55927,312.25452,199.55927,354.77155,295.85904,354.77155,246.31384,424.2944,246.31384,316.72638,412.0798,316.72638,244.86224,310.45193,244.86224,308.34836,309.63394,308.34836,258.64508,520.87885,258.64508,311.7803,518.98914,311.7803,
276.7633,95.2119,276.7633,276.69788,183.43251,276.69788,276.50974,246.08409,276.50974,227.75616,184.10057,227.75616,326.1236,182.75783,326.1236,183.09927,238.90057,183.09927,379.52637,232.31577,379.52637,200.4851,310.50378,200.4851,354.9762,296.9442,354.9762,246.41534,431.07755,246.41534,317.6678,413.8905,317.6678,245.1987,309.9201,245.1987,307.6326,309.8577,307.6326,256.7249,523.3738,256.7249,311.52478,520.7034,311.52478,
277.27896,95.34798,277.27896,277.68155,183.7074,277.68155,277.19827,246.27591,277.19827,229.23407,184.37285,229.23407,326.7782,183.03304,326.7782,186.9946,237.77759,186.9946,380.29895,232.34752,380.29895,200.51688,309.572,200.51688,355.47372,297.6313,355.47372,247.88593,426.60242,247.88593,317.6542,413.88373,317.6542,245.62952,309.99585,245.62952,308.0469,310.21515,308.0469,257.1602,524.203,257.1602,310.62662,518.47437,310.62662,
